headline,status,founded,dateOfInvestment,management,location,segment,investment,investmentType,website,Description,id,contentType,businessModel,subheadline,exit
Profian,Active,2020,2021-09-21,"Mike Bursell
Nathaniel McCallum","Cambridge (United Kingdom)
Raleigh, North Carolina (United States)",Cybersecurity,Seed,VC,https://www.profian.com/,"Profian is a security company, providing products and services in the Confidential
Computing space. The company is committed to open source software basing its products
on the open source software project Enarx, which uses WebAssembly, a portable run-time
binary format supported on all the major hardware platforms, and which is being
standardized by the W3C. Profian allows companies to deploy existing cloud-native
applications, without redesign or recompilation, across existing platforms like Intel SGX and
AMD SEV, and new platforms as they are rolled out, such as Arm 9 Realms and IBM Power
Series PEF.",505JXi1eg0Avq1ApQzj23z,venture,NaN,NaN,NaN
Heyflow,Active,2020,2021-09-01,"Amir Bohnenkamp
Dustin Jaacks",Hamburg (Germany),Business Software,Seed,VC,https://heyflow.app/de,"Heyflow is the no-code software to build, design and integrate clickflows. We believe that user interaction is the most important activity on the web and that clickflows are the best way to achieve great interactions. That’s why we are dedicated to empowering businesses to convert more traffic with clickflows.
",2bNWktpaKwi8C4Xurp3Yoy,venture,B2B - SMB,NaN,NaN
Perfect Drive Sports Group,Active,2020,2021-07-01,Sandra Cau,"Hannover (Germany)
Manchester (UK)",Commerce,Later Stage Acceleration,PE Co-Investment,https://perfectdrive.com/,"Perfect Drive Sports Group (PDSG) is Europe’s largest e-commerce company for golf equipment. It is the leading online retailer of golf equipment in the UK and the German speaking region. With its two brands – Clubhouse Golf in the UK and All4Golf in Germany – PDSG is going to accelerate its international expansion as well as further drive organic growth in its respective home markets through continued investments into the online offering and marketing capabilities. It stocks the majority of leading golf brands and offers a direct-to-customer proposition centred around a bigger choice for better value with an industry leading service. Across its two locations in Hannover and Manchester, the group has more than 150 employees.",4Rs7hsDawq3yMf5VheP2av,venture,B2C,Europe's leading online retailer of golf equipment,"

"
AMAZD,Active,2020,2021-05-31,"Fabian Furtmeier
Dominik Unützer",Munich (Germany),Commerce,Seed,VC,https://www.amazd.co/,"AMAZD is a personal conversational storefront solution that combines the same
interactive 1-1 service available from an in-store experience, with the convenience of
online shopping. Often customers have to spend time on tedious research, sifting
through incomplete product information to then be faced with the sheer agony of
choice. That’s why AMAZD is committed to helping customers make better
high-consideration purchase decisions with free personalized advice. While at the
same time enabling retailers to increase direct customer engagement, transactions,
and customer loyalty. AMAZD does this by virtually connecting customers with real
human product experts via a powerful app, giving businesses the power to transform
the customer journey into a highly engaging and personalized conversation via text,
chat, or video - with unlimited up and cross selling opportunities.",6C0myMuBmuvFiM4ARqDvQr,venture,B2B - Enterprise,Personal conversational storefront,NaN
priceloop,Active,2020,2021-05-24,"Dr. Richard Schwenke
Dat Tran",Berlin (Germany),Business Software,Seed,VC,https://priceloop.ai/,"priceloop enables eCommerce and retail companies to be more successful by using data-driven pricing decisions. The solution is based on a machine-learning model, which continuously learns and improves. The founders Dr. Richard Schwenke and Dat Tran have created a solution that is data-efficient and transparent from demand function to final price.

",7vwH7pDN7WZZekurLMP2RK,venture,B2B - SMB,Data driven pricing,NaN
Quix,Active,2020,2021-05-12,"Michael Rosam
Tomas Neubauer
Peter Nagy
Patrick Mira Pedrol",London (United Kingdom),Business Software,Seed,VC,https://quix.ai/,Quix,FzepCVtWNVyS9iTUE0yb2,venture,SaaS,Data streaming analytics platform,NaN
Inwerk,Active,2001,2021-04-20,"Jens Hohenbild
Bernd Klingelhöfer",Meerbusch (Germany),Commerce,Later Stage Acceleration,PE Co-Investment,https://www.inwerk.de/,"Inwerk is one of the leading online providers of professional office furniture in Germany. Inwerk was founded in 2001 and has 105 employees in two offices. The company, headquartered in Meerbusch near Düsseldorf, is a pioneer in online multi-channel marketing and an award-winning designer of unique and innovative office furnishing solutions. The company has served over 400,000 customers with a comprehensive product and service offering including own design furniture and 3D office planning services.",1exF9RauQplICo1GHk0B7U,venture,B2B - SMB,Professional office furniture,NaN
Knowunity,Active,2020,2021-04-01,"Benedict Kurz
Julian Prigl",Sindelfingen (Germany),Education,Seed,VC,https://knowunity.de/,Knowunity,7MPPEGUmvSPJJsu2ZD7KiL,venture,B2C,Learning platform by and for students,NaN
butter,Active,2020,2021-03-01,"Jakob Knutzen
Christopher Holm-Hansen
Adam Wan",Remote,Media,Seed,VC,https://butter.us/,"Butter is an all-in-one platform built with all the tools you need to host
interactive workshops, remote design sprints and brainstormings, virtual training sessions and live courses. It is browser-based and integrates common tools such as the Google Suite and Miro for better collaboration while bringing back a sense of freshness to Zoom-fatigued office workers. 

",2hypmofdiIHNrrjjtvbypM,venture,B2C,Smooth virtual workshops,NaN
WindStar Medical,Active,2008,2020-12-01,"René Flaschker
Bettina Silvester
Lukas Kretzinger",Frankfurt (Germany),Commerce,Later Stage Acceleration,PE Co-Investment,https://www.windstar-medical.com/de/,"WindStar Medical is a leading over-the-counter (OTC) consumer healthcare company based in Germany. The WindStar Medical Group develops companies in the extended healthcare market. The company creates and distributes high-quality consumer health products and brands for drugstores, supermarkets and online. The group's business units are supported during their development and in their international expansion. WindStar Medical focuses on quickly and consistently building upmarket leaders, who can assert themselves in their markets as independent companies.

",41y5e75Chl6hjmxyRL6Qym,venture,Marketplace,Consumer Health Platform,NaN
